question_type,emotion,answer
คําถามเชิงอารมณ์,61,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,70,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,74,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,67,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,66,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,75,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,68,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,76,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,75,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,66,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,71,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,78,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,75,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,72,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,70,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,98,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,100,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,94,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,91,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
ความรู้ทั่วไป,93,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,99,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,70,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,85,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,82,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,74,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,93,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,89,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
วิทยาศาสตร์,62,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,78,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,67,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,56,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,71,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,55,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
คําถามเชิงอารมณ์,57,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,53,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,51,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,53,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,50,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
วิทยาศาสตร์,50,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,78,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,69,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,78,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,77,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,68,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,94,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,100,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,100,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,93,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,97,ฉันดีใจที่ได้ช่วยเหลือคุณ
ความรู้ทั่วไป,77,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,98,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,73,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,79,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,79,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,90,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,80,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,84,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,70,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,82,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,72,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
คําถามเชิงอารมณ์,70,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,68,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,78,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,77,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,78,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,83,ฉันดีใจที่ได้ช่วยเหลือคุณ
ความรู้ทั่วไป,95,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,87,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,86,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,89,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,83,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,76,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,92,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,76,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,88,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,90,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,90,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
วิทยาศาสตร์,51,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,64,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,55,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,75,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,59,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,73,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,56,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,53,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,52,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,52,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,53,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,62,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
คําถามเชิงอารมณ์,66,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,67,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,68,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,78,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,82,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,88,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,85,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,93,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,90,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,87,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,82,วันนี้คุณรู้สึกอย่างไร?
ความรู้ทั่วไป,78,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,80,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,76,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,93,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,85,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,84,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,82,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,95,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,92,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,84,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,76,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,81,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,81,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,73,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,70,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,60,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,50,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,56,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,63,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,55,ฉันดีใจที่ได้ช่วยเหลือคุณ
วิทยาศาสตร์,59,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,78,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,60,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,56,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,78,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,65,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,98,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,92,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,91,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,98,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,92,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,88,ฉันดีใจที่ได้ช่วยเหลือคุณ
วิทยาศาสตร์,64,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,62,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,68,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,63,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
ความรู้ทั่วไป,76,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,78,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,94,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,81,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,88,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,93,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,100,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,80,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,74,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,72,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,77,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,78,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,96,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
วิทยาศาสตร์,66,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,68,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,54,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,78,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,54,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,59,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
ความรู้ทั่วไป,94,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,92,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,82,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,72,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,75,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,95,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,99,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,100,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,92,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,95,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,100,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,90,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,94,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,93,ฉันดีใจที่ได้ช่วยเหลือคุณ
ความรู้ทั่วไป,79,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,91,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,70,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,71,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,96,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,74,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,96,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,100,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,99,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,91,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,97,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
คําถามเชิงอารมณ์,100,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,100,ฉันดีใจที่ได้ช่วยเหลือคุณ
วิทยาศาสตร์,55,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,64,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,73,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,69,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,65,แรงโน้มถ่วงเป็นแรงที่ดึงวัตถุเข้าหากัน
วิทยาศาสตร์,70,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
ความรู้ทั่วไป,71,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,77,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,81,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,76,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,99,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,72,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,89,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,77,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,88,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,80,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,80,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,72,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,99,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,83,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,76,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,99,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,99,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,75,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,81,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,93,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,74,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,82,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,71,ประเทศไทยมีประชากรประมาณ 70 ล้านคน
ความรู้ทั่วไป,90,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,78,ธงชาติของญี่ปุ่นมีพื้นสีขาวและวงกลมสีแดงตรงกลาง
ความรู้ทั่วไป,93,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,82,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,93,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,90,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
ความรู้ทั่วไป,73,ฟุตบอลเป็นกีฬาที่ได้รับความนิยมมากที่สุดในโลก
คําถามเชิงอารมณ์,65,คุณสามารถเล่าเรื่องที่ทำให้คุณมีความสุขให้ฉันฟังได้ไหม?
คําถามเชิงอารมณ์,73,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,79,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,84,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,89,วันนี้คุณรู้สึกอย่างไร?
คําถามเชิงอารมณ์,91,ฉันดีใจที่ได้ช่วยเหลือคุณ
วิทยาศาสตร์,74,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
วิทยาศาสตร์,67,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,70,น้ำเดือดที่อุณหภูมิ 100 องศาเซลเซียสที่ระดับน้ำทะเล
วิทยาศาสตร์,58,มนุษย์มีดีเอ็นเอที่คล้ายกับชิมแปนซีมากกว่า 98%
